# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1363
#@/user_id	myrimedata-windows
a 	啊	c=4 d=0.585669 t=1363
jiu xing 	就行	c=7 d=1.1221 t=1363
jiu xing ba 	就行吧	c=1 d=0.332871 t=1363
ju ran 	居然	c=2 d=0.591939 t=1363
ka 	卡	c=4 d=0.959871 t=1363
ka la 	卡拉	c=0 d=0.0305746 t=1363
ka la ba ji 	卡拉八级	c=1 d=0.307279 t=1363
kai che 	开车	c=2 d=1.86269 t=1363
kai fang 	开放	c=2 d=1.27207 t=1363
kai gan 	开杆	c=1 d=0.499074 t=1363
kai ji 	开机	c=2 d=1.01071 t=1363
kai qi 	开启	c=2 d=0.477424 t=1363
kai shi 	开始	c=2 d=0.265976 t=1363
kai tong 	开通	c=1 d=0.00697795 t=1363
kai xue 	开学	c=2 d=0.126268 t=1363
kan 	看	c=7 d=2.48455 t=1363
kan kan na 	看看那	c=1 d=0.865022 t=1363
kan wang shang 	看网上	c=1 d=0.145148 t=1363
kan zhe 	看着	c=3 d=0.314525 t=1363
kan zhe mai 	看着买	c=1 d=0.00644146 t=1363
kan zhe ni 	看着你	c=2 d=1.2913 t=1363
ke 	可	c=2 d=0.238878 t=1363
ke 	课	c=2 d=0.128176 t=1363
ke fu 	客服	c=8 d=0.262837 t=1363
ke neng 	可能	c=2 d=0.143797 t=1363
ke ting 	客厅	c=2 d=0.289572 t=1363
ke xiao 	可笑	c=1 d=0.891366 t=1363
ke yi 	可以	c=8 d=2.37954 t=1363
kong jian 	空间	c=2 d=1.79616 t=1363
kong zhong 	空中	c=2 d=1.64979 t=1363
kuai di 	快递	c=1 d=0.00700873 t=1363
kuai jie 	快捷	c=0 d=0.0860708 t=1363
kuai jie duan yu 	快捷短语	c=1 d=0.865022 t=1363
kuai jie jian 	快捷键	c=2 d=0.1154 t=1363
kuan song de 	宽松的	c=1 d=0.172882 t=1363
kuan song de fu jin 	宽松的附近	c=1 d=0.157237 t=1363
lai 	来	c=14 d=1.60906 t=1363
lai de ji 	来得及	c=2 d=0.015696 t=1363
lai le 	来了	c=2 d=0.105468 t=1363
lang qun 	狼群	c=2 d=0.211327 t=1363
lao 	老	c=3 d=0.369289 t=1363
lao jia 	老家	c=3 d=0.172695 t=1363
lao ren 	老人	c=2 d=0.0542392 t=1363
lao shi 	老师	c=2 d=0.0885356 t=1363
lao ti shi 	老提示	c=1 d=0.11475 t=1363
le 	了	c=28 d=1.8233 t=1363
lei 	类	c=2 d=0.918512 t=1363
li 	力	c=2 d=0.0285999 t=1363
li 	里	c=4 d=2.82617 t=1363
li kai jia 	离开家	c=3 d=1.21965 t=1363
li ke 	立刻	c=1 d=0.0086517 t=1363
li shi ban ben 	历史版本	c=2 d=0.173887 t=1363
